"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000000047"	"YAL049C"	"S. cerevisiae"	"AIM2"	"Altered Inheritance rate of Mitochondria"	"Cytoplasmic protein involved in mitochondrial function or organization"	"Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"	"Verified"	"Protein whose biological role is unknown; localized to the cytoplasm|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant displays a decreased frequency of spontaneous mitochondrial genome loss; null mutant is ethanol sensitive; null mutant displays increased survival following a ramped heat stimulus; overexpression results in decreased filamentous group and an inability to undergo invasive growth"	"1823-YAL049C"	NA
"S000000048"	"YAL051W"	"S. cerevisiae"	"OAF1"	"Oleate-Activated transcription Factor"	"Oleate-activated transcription factor"	"Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication"	"Verified"	"Subunit of the heterodimeric Pip2-Oaf1 complex, which binds to promoter proximal elements upstream of genes involved in peroxisomal proliferation, functioning as a transcriptional activator in the presence of oleate; regulates chromatin silencing at telomeres|uniprot_proteome=UP000002311"	NA	"1824-YAL051W"	NA
"S000000049"	"YAL053W"	"S. cerevisiae"	"FLC2"	"FLavin Carrier"	"Putative calcium channel involved in calcium release under hypotonic"	"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"	"Verified"	NA	NA	"1825-YAL053W"	NA
"S000000050"	"YAL054C"	"S. cerevisiae"	"ACS1"	"Acetyl CoA Synthetase"	"Acetyl-coA synthetase isoform"	"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"	"Verified"	"Acetyl-CoA ligase with role in acetyl-CoA synthesis; localizes in the cytosol|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant shows decreased fermentative growth and is incapable of respiratory growth on non-fermentable carbon sources"	"1826-YAL054C"	NA
"S000000051"	"YAL055W"	"S. cerevisiae"	"PEX22"	"PEroXisome related"	"Putative peroxisomal membrane protein"	"Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation"	"Verified"	"Protein that binds to Pex4p and activates its E2 ubiquitin-conjugating activity, promoting recycling of the peroxisomal import receptor Pex5p; also stimulates Pex4p and autoubiquitination activity; localized to the peroxisomal membrane|uniprot_proteome=UP000002311"	NA	"1827-YAL055W"	NA
"S000000052"	"YAL056W"	"S. cerevisiae"	"GPB2"	NA	"Multistep regulator of cAMP-PKA signaling"	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant is auxotrophic for myo-inositol, has a pseudohyphal growth defect, small cell size in saturated culture, decreased basal and acquired ethanol tolerance, and decreased acquired therotolerance; diploid null mutant is haploinsufficient, and has a sporulation defect"	"1828-YAL056W"	NA
"S000000054"	"YAL058W"	"S. cerevisiae"	"CNE1"	"CalNExin and calreticulin homolog"	"Calnexin"	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"	"Verified"	NA	"Non-essential gene; null mutant has decreased competitive fitness, is auxotrophic for myo-inositol, displays increased chitin deposition and increased activation of the cell wall integrity (CWI) pathway"	"1829-YAL058W_NumOfGenes_2"	NA
"S000000055"	"YAL059W"	"S. cerevisiae"	"ECM1"	"ExtraCellular Mutant"	"Pre-ribosomal factor involved in 60S ribosomal protein subunit export"	"Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm"	"Verified"	NA	"Non-essential gene; null mutant has decreased competitive fitness, displays defective accumulation of 60S ribosomal subunits; null mutant also has increased heat shock resistance, and decreased resistance to various stressors including acid pH, calcofluor white and tunicamycin"	"1830-YAL059W_NumOfGenes_3"	NA
"S000000056"	"YAL060W"	"S. cerevisiae"	"BDH1"	"Butanediol DeHydrogenase"	"NAD-dependent (R,R)-butanediol dehydrogenase"	"NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"	"Verified"	NA	"Non-essential gene; null mutant displays decreased accumulation of (R,R)-butane-2,3-diol and acetoin; null mutant shows filamentous growth defect; heterozygous null mutant displays decreased fitness"	"1831-YAL060W"	NA
"S000000057"	"YAL061W"	"S. cerevisiae"	"BDH2"	NA	"Putative medium-chain alcohol dehydrogenase with similarity to BDH1"	"Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"	"Uncharacterized"	NA	"Non-essential gene; null mutant displays decreased competitive fitness and sensitivity to hyperosmotic stress; heterozygous null mutant displays decreased fitness and decreased resistance to starvation"	"1832-YAL061W_NumOfGenes_2"	NA
"S000000058"	"YAL062W"	"S. cerevisiae"	"GDH3"	"Glutamate DeHydrogenase"	"NADP(+)-dependent glutamate dehydrogenase"	"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"	"Verified"	NA	"Non-essential gene; null mutant displays decreased competitive fitness, decreased growth in ethanol containing media and increased sensitivity to calcofluor white"	"1833-YAL062W_NumOfGenes_2"	NA
"S000000059"	"YAL063C"	"S. cerevisiae"	"FLO9"	"FLOcculation"	"Lectin-like protein with similarity to Flo1p"	"Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"	"Verified"	NA	"Non-essential gene; null mutant has filamentous and invasive growth defects; overexpression results in increased in flocculation and adherence"	"1834-YAL063C"	NA
"S000000060"	"YAL064W"	"S. cerevisiae"	NA	NA	"Protein of unknown function"	"Protein of unknown function; may interact with ribosomes, based on co-purification experiments"	"Verified"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"1837-YAL064W"	NA
"S000000061"	"YAL066W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"1840-YAL066W"	NA
"S000000062"	"YAL067C"	"S. cerevisiae"	"SEO1"	"Suppressor of sulfoxyde EthiOnine resistance"	"Putative permease"	"Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"	"Verified"	"Putative transporter based on sequence similarity to membrane transporter gene families|uniprot_proteome=UP000002311"	NA	"1841-YAL067C"	NA
"S000000063"	"YAR002W"	"S. cerevisiae"	"NUP60"	"NUclear Pore"	"FG-nucleoporin component of central core of the nuclear pore complex"	"FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153"	"Verified"	NA	"Non-essential gene; null mutant displays defects in nuclear export and localization of mRNAs"	"1845-YAR002W"	NA
"S000000064"	"YAR003W"	"S. cerevisiae"	"SWD1"	"Set1c, WD40 repeat protein"	"Subunit of the COMPASS (Set1C) complex"	"Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"	"Verified"	NA	"Non-essential gene; null mutant displays defects in chromosome maintenance and dynamics, increased accumulation of glycogen and increased flocculation"	"1846-YAR003W"	NA
"S000000065"	"YAR007C"	"S. cerevisiae"	"RFA1"	"Replication Factor A"	"Subunit of heterotrimeric Replication Protein A (RPA)"	"Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia"	"Verified"	"A DNA-binding protein involved in DNA replication, repair and recombination as well as maintenance of telomeres; localizes to condensed nuclear chromosome as well as telomeric regions of chromsomes|uniprot_proteome=UP000002311"	"Essential gene; null mutant has decreased resistance to heat, UV, and DNA-damaging agents; abnormal spindle morphology/positioning, cell cycle progression, chromosome segregation and budding"	"1847-YAR007C"	NA
"S000000066"	"YAR008W"	"S. cerevisiae"	"SEN34"	"Splicing ENdonuclease"	"Subunit of the tRNA splicing endonuclease"	"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"	"Verified"	NA	"Essential gene; null mutant displays defect in tRNA and rRNA processing, and delayed progression through the G1/S cell cycle phase transition"	"1848-YAR008W"	NA
"S000000069"	"YAR014C"	"S. cerevisiae"	"BUD14"	"BUD site selection"	"Protein involved in bud-site selection"	"Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"	"Verified"	NA	NA	"1849-YAR014C"	NA
"S000000070"	"YAR015W"	"S. cerevisiae"	"ADE1"	"ADEnine requiring"	"N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase"	"N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"	"Verified"	"Phosphoribosylaminoimidazolesuccinocarboxamide synthase involved in the biosynthesis of purine nucleotides|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant displays adenine auxotrophy and forms red colonies"	"1850-YAR015W"	NA
"S000000071"	"YAR018C"	"S. cerevisiae"	"KIN3"	"protein KINase"	"Nonessential serine/threonine protein kinase"	"Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol"	"Verified"	NA	NA	"1851-YAR018C"	NA
"S000000072"	"YAR019C"	"S. cerevisiae"	"CDC15"	"Cell Division Cycle"	"Protein kinase of the Mitotic Exit Network"	"Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress"	"Verified"	"Protein kinase involved in mitotic exit, cytokinesis and meiotic spindle disassembly; localizes to the bud neck, cytoplasm and spindle pole body|uniprot_proteome=UP000002311"	NA	"1852-YAR019C"	NA
